kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Sijunjung,Sumatera Barat,22.2,0.16,5.78,55.0,35.91,8.62,101.09615312578576,-0.6905206787200463,1304,RLS,0.18228333264135085,0.17989255754660918,0.15936396468845412,0.23372928383479685,0.24473086128878896,28.486704760325132,-6.286704760325133,0.3924969753670134,48.33585833705458,99,Tinggi
Tanah Datar,Sumatera Barat,22.4,0.03,4.28,56.6,41.84,9.29,100.58406102876712,-0.4676503440144352,1305,RLS,0.2222157652049748,0.19628822605174565,0.2254710464492256,0.1157614872685421,0.24026347502551199,19.812562866504255,2.587437133495744,0.11751652047739851,41.46776011452945,165,Tinggi
Padang Pariaman,Sumatera Barat,20.5,0.06,6.27,52.7,37.68,8.42,100.22793398328793,-0.565000755261365,1306,Pangan Hewani,0.14611348160857582,0.19966919037984127,0.21294408764055023,0.22651220315134857,0.21476103721968406,24.87444072817945,-4.374440728179451,0.21992003929248802,44.02545980935527,137,Tinggi
Agam,Sumatera Barat,21.9,0.06,6.83,54.6,41.15,9.23,100.17088369837106,-0.2518805753854801,1307,Kemiskinan,0.18801704132376612,0.2140585910161928,0.19027690130242253,0.21197682642776802,0.19567063992985062,24.650166526505913,-2.7501665265059145,0.2041351397215165,43.631205458697345,142,Tinggi
Lima Puluh Kota,Sumatera Barat,19.4,0.1,6.92,63.0,45.91,8.13,100.56965874033546,0.0203453398326862,1308,RLS,0.19077984488508204,0.1507898869193444,0.21663644209376415,0.17480904968667635,0.2669847764151331,14.098978672965938,5.301021327034061,0.1054729347581343,41.1669513544868,168,Sedang
Pasaman,Sumatera Barat,24.2,0.17,6.74,59.8,38.31,8.14,100.08721913575232,0.3926289699086092,1309,Kemiskinan,0.19265524486687963,0.2434262068872195,0.17235710163990062,0.18640898922195245,0.20515245738404778,29.38163013548222,-5.181630135482219,0.5901872155755488,53.27350377055221,67,Tinggi
Dharmasraya,Sumatera Barat,16.5,0.05,5.32,58.6,45.21,8.98,101.55722339265304,-1.1312499346148688,1311,Pangan Hewani,0.21061511225646828,0.19394996068447448,0.19470538326585113,0.21447934296631163,0.1862502008268945,18.159068724738542,-1.6590687247385425,-0.26649178381296107,31.87650842651314,265,Sedang
Pasaman Barat,Sumatera Barat,20.6,0.06,7.0,59.8,44.12,8.99,99.68550152863948,0.2034536786859745,1312,Pangan Hewani,0.21576420976943878,0.18848119025706359,0.16385610663560085,0.22273754271804988,0.20916095061984685,21.42020431630393,-0.8202043163039292,0.101557837839237,41.06916524019556,169,Tinggi
Kota Padang,Sumatera Barat,17.3,0.0,4.06,58.0,48.88,11.63,100.4376435366869,-0.8988752467056614,1371,RLS,0.21056449912498693,0.18932825003085776,0.21091402042203863,0.14049691827193733,0.24869631215017934,15.598542897766682,1.7014571022333183,-0.6157465768563151,23.153283991262423,334,Sedang
Kota Solok,Sumatera Barat,14.4,0.0,3.07,58.1,46.37,11.37,100.62986592969956,-0.7828671354532273,1372,RLS,0.19595745634235398,0.23105503405487415,0.1427809374778602,0.16783360566704503,0.2623729664578666,10.899736200318653,3.5002637996813473,-0.7921627976830254,18.746992885333018,361,Sedang
Kota Sawahlunto,Sumatera Barat,17.1,0.02,2.33,60.6,49.8,10.53,100.75440604263918,-0.652699075452828,1373,RLS,0.20330528329298794,0.20850331683791767,0.1611694749623322,0.17045022548262792,0.2565716994241342,17.850809408991154,-0.7508094089911523,-0.5725502442010229,24.232184874048844,326,Sedang
Kota Padang Panjang,Sumatera Barat,16.7,0.0,5.31,57.5,48.3,12.0,100.40229565866974,-0.4724543912639219,1374,RLS,0.2179527428072295,0.14154189030876452,0.22230871804784408,0.14865103841762917,0.26954561041853276,23.021150718281532,-6.321150718281533,-0.6466956546690432,22.380278846588713,340,Sedang
Kota Bukittinggi,Sumatera Barat,13.2,0.0,4.08,59.4,47.4,11.65,100.3725370356198,-0.299583414080955,1375,RLS,0.15598760315190052,0.2295081592834418,0.17047457473939262,0.19390593652605145,0.2501237262992135,8.286514581267504,4.9134854187324954,-0.8867965681374114,16.383355691884013,372,Sedang
Kota Payakumbuh,Sumatera Barat,14.3,0.0,5.19,59.8,46.1,10.89,100.63211796302733,-0.2269854167178533,1376,Pangan Hewani,0.21558656453639247,0.16514884227493534,0.18604737553958398,0.23827324804240435,0.19494396960668384,0.5,13.8,-0.6729645902774437,21.724168105801304,347,Sedang
